User,Date Created,Number of Likes,Source of Tweet,Tweet
_prettyinpeach,2022-06-16 23:59:58+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@MsPenguinx @Herboku1 ma'am how do you spend almost $900 in a day i-
Andrew63rob,2022-06-16 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",good morning everyone have a great day xxx
LuisVilla2001,2022-06-16 23:59:57+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1 Una Sola America (Spanish Edition) by Luis E. Villa https://t.co/bjPUCnEiBx via @amazon

HAPPY FATHER'S DAY !

... regalele El Libro:

""1 Una Sola América"" 

... a su Padre 

Cordialmente, 
Luis E Villa 
Autor del Libro:
""1 Una Sola América"""
bennettstuff,2022-06-17 23:59:59+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Free 3 Day Shipping.
A Store You Can Trust Right here in the USA.
Serving The Public For 21 Years.
Cremation Urn Pendant Stainless Steel Pendant Memorial Urn Necklace https://t.co/tZjxMHxF2G"
pmm32183,2022-06-17 23:59:59+00:00,4,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Also, how they are aware that I'm doing the best that I can. I'm not looking for praise every day, but it's good to hear once in a while. I don't like asking for help b/c I feel like it shows I'm incapable of handling things. I woukd rather just do something myself."
arydominguez_,2022-06-17 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The second I eat something after starving all day I’m a whole different person.
BaggzofMoneyy,2022-06-17 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","They made fun of Crystal Waters and Gypsy Women still get played to this day, along with her other bops"
fabrizioc40,2022-06-17 23:59:58+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","maybe peoples think that soldiers killed everyday are just numbers,1000 a day ! you should be proud of you Putin , look at what disgrace you made, what a carnage of human life, just for your ego . what if somebody do that to the Russian peoples? but of course Putin does not care."
arimq_,2022-06-17 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@eighthhoekage SO ME. I told alyna this the other day and she was like “are you a fucking child?”💀
6onProjects,2022-06-17 23:59:58+00:00,12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","✨いよいよ開催 ”MusicVket4”～✨
VSinger #音無むおん 出展インフォ🎉

▼展示スペースこちら▼
Forte　Red　Fr-16

▼お品書き
こんな時代だからこそ音楽の力でアゲてこう！
🔥Die Another Day RAVE
https://t.co/al9LzHMfX5

 #MusicVket #MusicVket4 #MusV4お品書き 
#VRChat #VketCloud #6onRAVE https://t.co/syB6pPyMrA"
Britti_Kitti,2022-06-17 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Is it sad that getting money is the highlight of my day LOL
Flowery_Draws,2022-06-17 23:59:58+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I want to take a day off because my throat, body, and my nose feel sick but, i have to go to the art club for the project-"
fmfagan,2022-06-17 23:59:57+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@NurseChapel11 Evening Nurse Chapel. I’m not too bad after a somewhat challenging day. How are you? 🙋🏻‍♂️
LynnChastain2,2022-06-17 23:59:57+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@kenGIFfey_jr I like dill. My mom made huge ones like 3 per jar. Back on the day.
NalaMonroe,2022-06-18 23:59:59+00:00,6,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DLT has been 10 out of 10 every fucking day omg. Everyday has slapped differently!!!!!
AmericanStand3,2022-06-18 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet of the day!!
Trjman127,2022-06-18 23:59:59+00:00,7,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@MotherCluckyou You can have my son for Father’s Day!! The peace and quiet would be wonderful!
XG_1234567,2022-06-18 23:59:59+00:00,11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HINATAからどこに行きたい？🐈‍⬛🤍って聞かれたので、船に乗ってXGのメンバーがいる所に行きたいです⛴⚓️⛴⚓️
それでJURINにお誕生日おめでとう🎉
って直接言いたいです🥰
JURIN愛してるよ💖💖💖
＃XG_JURIN_20th誕生祭　
#HappyBirthday_JURIN　
#HAPPY_JURIN_DAY https://t.co/lEFHmoW2i6"
katterfly22,2022-06-18 23:59:59+00:00,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I think I’m done w twt for the day ~

feel free to text me if you know my number"
acraftymom,2022-06-18 23:59:59+00:00,9,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",So proud of these girls!!! 🥰 What a fabulous day!
imemilyemerald,2022-06-18 23:59:59+00:00,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Please learn to take care of yourself. Give what your mind, body, and soul needs. Rest, exercise, and a good meditation sesh. A day for yourself to relax and be completely and comfortably in tune within yourself. I promise you you’ll love it. 🤍"
kanyesbabymoma,2022-06-18 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The urge to unblock my toxic ex and wish him a happy Father’s Day just to ruin his day 😭
__als_,2022-06-18 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","If you have to tell the world every day that you did someone a favor, lol, you are better off not even doing the damn favor."
EarlAJMoriarty,2022-06-18 23:59:58+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@JamesBondisKing ""I know. Even if you've gone rogue several occasions before, I knew I could still rely on you. Moran, no matter how much he complains, he'd listen to orders if he knew that's what the plan was. I should have just told you about the plan. If I were breaking any rules that day,"" +"
MissLoreleiLee,2022-06-18 23:59:58+00:00,29,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",happy daddies day to all the girls I've loved before
DreamSMPClips16,2022-06-19 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Ph1LzA Happy Fathers Day Phil!! ❤️❤️
Day_foino,2022-06-19 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",24 AÑOS!!??!! Ay Dios q vieja estoy 😩
Ryan_Radio,2022-06-19 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@HennDawg27 @TheChairmanTV @POTUS @WalkAndRollPod Yeah, I don’t know, I mean he probably is upset Joe can’t visit him for Fathers day and I can understand that"
BillSPACman,2022-06-19 23:59:59+00:00,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@TikTokInvestors @tolstoybb How long are you researching every day tik?
sana_280541,2022-06-19 23:59:59+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ทุกวันเเม่งโครตน่าเบื่อเเต่พอเห็นหนุเเล้วทุกวันก็ดูพิเศษขึ้นมาเป็นกอง มายกำลังใจ 
Have a good day too!!😊❤️ https://t.co/fRq2mPefjj"
akayeety,2022-06-19 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",that toilet clogging will ruin yo whole day
kellyripacool23,2022-06-19 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Hope that everyone had a wonderful day. God bless you all my friends.😇 https://t.co/8W7KwkeQwJ
bratzshiho,2022-06-19 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@noirshiho have a great day ha
TheLegend_AZ,2022-06-19 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Must be a bad spam day.  Verizon’s spam reporting system (7726) took nearly ten minutes  to respond.
tdogg34tx,2022-06-19 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Happy Heavenly Father's Day to my dad. Happy Father's Day to all. https://t.co/yUIoeo0L7u
chile_pepper,2022-06-19 23:59:59+00:00,27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","We’ve updated the cover art over at the @HabbyHour. Thanks as always to the work of @MarkTweetMark, whose support we’ve been grateful for since Day 1!

#GoHabsGo https://t.co/y5zyOJvTpB"
LottieStark11,2022-06-20 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@trax123 @BennieOwen1895 @429Jeoz No I'm not lost, I don't believe in the CDC they lied many times(but I'll not get into that) for my tastes. And I'm trying to peacefully end this conversation with you, may we please end it. As we are very differing in opinion that will not agree. Again I hope you have a good day"
ivycherries,2022-06-20 23:59:59+00:00,81,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Another happy customer 🥲💓 

Happy Father’s Day 🙏🏼 https://t.co/h0SVe9lCol"
revydude,2022-06-20 23:59:59+00:00,4,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@tagnar @SWTheory66 @ImmortaISoldier At the end of the day people are responsible for their own actions. Unless he is literally inciting people to have such actions. Which he has never done so. Those people are responsible for their own emotions and actions. People wanna blame their issues on everyone else
simplynajaeminn,2022-06-20 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@xxevzo have a great day, jangan lupa sarapan ya!"
alunaj7,2022-06-20 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@LeslieAdami Telling you... its @LeslieAdami Appreciation Day in Corpus. 2nd vote for 🐐!
lauzrel,2022-06-20 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@piyakchn don't skip ur breakfast &amp; have a great day, ditha 🏂🌸❕"
devONWUBIKO,2022-06-20 23:59:58+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","One thing I'd say for sure is that with each day that passes, my respect for established developers keeps on rising. It really is not an easy path, now I see why there is a significant difference between people that want to become developers and the ones that actually do."
bombassnik,2022-06-20 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@bombassnik's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
Jhsbassman,2022-06-20 23:59:58+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@HoshiBoys_NSFW @FolsomEast Great meeting you and chatting with you later in the day. You looked absolutely adorable and it looked like you were thoroughly enjoying yourself 😉😁😈
hziemin,2022-06-20 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@vtaeminkim Jangan lupa sarapan, have a great day &lt;3"
Pacifaxe,2022-06-20 23:59:58+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kWwuxCm2LUa90N0 Good morning Arc-san! ┏(＾0＾)┛
Have a great day ヾ(･ω･*)ﾉ"
AG4THAX,2022-06-21 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@squierhell have a nice day
brosandprose,2022-06-21 23:59:59+00:00,4,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@ElisaSDavis me too. I hope he never has a single day of peace.
its_teyaa,2022-06-21 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",on repeat all day and idk why. something about it 🤞🏽🤞🏽 https://t.co/Eta4n3G11v
COLDSTEELIRL,2022-06-21 23:59:59+00:00,3,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","one day god fr just went and said ""im gonna make the most basic ass animal I can and somehow still make it function"" then made earthworms"
bin4life,2022-06-21 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@mkldni i eat it like it's my last day alive
mylesspike86,2022-06-21 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Megan did it again. Another close game. Let’s do it again tomorrow when she goes for 7. Have a great night and first day of summer #Jeopardy fam! @Jeopardy
RGCBaseball,2022-06-21 23:59:59+00:00,10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Awesome turnout for Day 1 of the 2022 Rattler Baseball Summer Camp!! #RattlerPride https://t.co/cU5fvg4vXd
jstvnme,2022-06-21 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",have a nice day💐💐
panamaorange,2022-06-21 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@StevenCambian This is how we know davey wilcock isn't really working on his planes. Engineering anything nowadays is incredibly stressful. He would be complaining about that work. 
He wouldnt have time to just cook eggs, and talk to squirrels all day."
k_phoover,2022-06-21 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@TrumpHair_ @tsRoxxxyKonton @RandyRRQuaid @StephenAtHome @colbertlateshow What about when you are a loved one are hospitalized? Obviously longer lines. If you feel it is safer way it is then you’re a troll. Scream to your meatloaf and call it a day nerd https://t.co/st71DmnI4I
gmasonii,2022-06-21 23:59:58+00:00,0,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@AdamKinzinger @GOPLeader @gopleader has no shame.  Neither does most of the GOP.  They have lost all sense of right and wrong.  Sad day when most of the people we trust to run the country have no moral compass.
ksy_ab,2022-06-22 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@skzjiluv Good morning have a great day 💕
kimrafa10,2022-06-22 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@AdamKinzinger Your son is beautiful. God bless you and your wife. You make a wonderful family. He will be very proud of you one day, for what you did and continue to do. ❤️🙏💪"
neah_naomi,2022-06-22 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I think about my brother every day 💕
Kazenmax,2022-06-22 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@georgehahn Day 25,499 and I have not felt the need for a gun or bought yet."
moremoreidol,2022-06-22 23:59:59+00:00,0,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","You know, it kind of reminds me of us back in the day."
GT99912841,2022-06-22 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@richo_1973 Morning Richo did you get to the gym? 🏋️🏋️‍♂️🏋️
Have a wonderful day 😊"
sadtuneshappier,2022-06-22 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","i feel like ur one of my closest friends on here and so thankful that we started talking and interacting. i wish we could have met at Olivia’s show, but one day it’ll happen🫶 anyways thank you for being an amazing friend and ily so much🫂💖"
m0utth,2022-06-22 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",i’ll be thinking about this all day
susannahsparrow,2022-06-22 23:59:59+00:00,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@MaximeBernier 🙄The NWO should take their ‘New’ agenda and get permanently lost. (That is the polite version of what I would like to say). It’s Canada Day and it will always be Canada Day as far as I’m concerned.
carolina_19861,2022-06-22 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Good day to everyone
homeismyfriend,2022-06-22 23:59:59+00:00,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@cscviews @ABCthedrum Ppl lose jobs every day. Why aren’t they on your show?
HoopsWill,2022-06-23 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Marjon32 Congrats on the big day, you’re going to kill it"
